N,budget_fraction,NL,N_L^2_times_nodal_max,N_L_times_balanced_error,BS_balanced_theory_constant
1024,0.3,154,0.40381634829558755,0.5767925218191804,0.5767861755340927
1024,0.4,205,0.38341744533787414,0.5767896720422391,0.5767861755340927
1024,0.5,256,0.36886943923219495,0.5767883664708859,0.5767861755340927
1024,0.6,307,0.35857750070570876,0.5767876654930468,0.5767861755340927
1024,0.7,358,0.3517601438568459,0.5767872502294122,0.5767861755340927
