z,I(z),I/(z^2/24),K(z),K/(73z^4/11520)
0.5,0.010185975293701577,0.9778536281953514,0.00037912902435244256,0.9572748187485235
0.25,0.002589624137456892,0.9944156687834464,2.4480458644449143e-05,0.9889837013358611
0.125,0.0006501309621088636,0.9986011577992144,1.5427772461773515e-06,0.9972241604923947
0.0625,0.0001627034702017527,0.9996501209195685,9.662474598215454e-08,0.9993046649718937
0.03125,4.068654458654347e-05,0.9999125197588924,6.042197667661926e-09,0.9998260805101843
0.015625,1.0172303561265956e-05,0.9999781292866886,3.776866196358639e-10,0.9999565147435233
