N,equal_error,equal_rate,sqrt_error,sqrt_rate
32,0.02897875001820238,,0.018195543487580457,
64,0.010986320817778061,1.3992870398726254,0.006979190338142205,1.3824535611033528
128,0.0037831237089844816,1.538058467820213,0.0024382502142474838,1.5172134943351065
256,0.0012469464650708417,1.601178426077049,0.000811857536634375,1.5865476904324327
512,0.0003954459396806609,1.6568471410827261,0.0002563913565352127,1.6628789613283086
1024,0.00012212506944342394,1.6951210987870717,7.905369210625679e-05,1.6974428780629487
2048,3.6958888192994976e-05,1.7243661195597013,2.3879234544166295e-05,1.7270762521358978
4096,1.0997244655364113e-05,1.7487792541230485,7.099235214469424e-06,1.7500210717048579
